"","state","horizon","target_end_date","reference_date","target","output_type","output_type_id","value","location"
"23","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.2,5,"02"
"24","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.2,5,"02"
"25","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.25,4,"02"
"26","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.25,5,"02"
"27","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.25,5,"02"
"28","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.25,6,"02"
"29","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.3,5,"02"
"30","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.3,5,"02"
"31","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.3,6,"02"
"32","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.3,7,"02"
"33","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.35,5,"02"
"34","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.35,6,"02"
"35","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.35,6,"02"
"36","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.35,7,"02"
"37","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.4,5,"02"
"38","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.4,6,"02"
"39","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.4,7,"02"
"40","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.4,8,"02"
"41","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.45,6,"02"
"42","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.45,7,"02"
"43","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.45,7,"02"
"44","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.45,8,"02"
"45","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.5,6,"02"
"46","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.5,7,"02"
"47","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.5,8,"02"
"48","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.5,9,"02"
"49","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.55,7,"02"
"50","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.55,8,"02"
"51","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.55,8,"02"
"52","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.55,9,"02"
"53","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.6,7,"02"
"54","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.6,8,"02"
"55","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.6,9,"02"
"56","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.6,10,"02"
"57","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.65,8,"02"
"58","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.65,9,"02"
"59","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.65,10,"02"
"60","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.65,10,"02"
"61","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.7,8,"02"
"62","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.7,9,"02"
"63","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.7,10,"02"
"64","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.7,11,"02"
"65","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.75,9,"02"
"66","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.75,10,"02"
"67","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.75,11,"02"
"68","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.75,12,"02"
"69","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.8,10,"02"
"70","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.8,11,"02"
"71","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.8,12,"02"
"72","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.8,13,"02"
"73","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.85,10,"02"
"74","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.85,12,"02"
"75","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.85,13,"02"
"76","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.85,14,"02"
"77","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.9,11,"02"
"78","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.9,13,"02"
"79","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.9,14,"02"
"80","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.9,15,"02"
"81","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.95,13,"02"
"82","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.95,15,"02"
"83","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.95,16,"02"
"84","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.95,17,"02"
"85","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.975,15,"02"
"86","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.975,17,"02"
"87","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.975,18,"02"
"88","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.975,19,"02"
"89","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.99,17,"02"
"90","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.99,19,"02"
"91","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.99,20,"02"
"92","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.99,22,"02"
"93","AL",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.01,21,"01"
"94","AL",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.01,25,"01"
"95","AL",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.01,29,"01"
"96","AL",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.01,32,"01"
"97","AL",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.025,25,"01"
"98","AL",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.025,30,"01"
"99","AL",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.025,34,"01"
"100","AL",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.025,38,"01"
"101","AL",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.05,29,"01"
"102","AL",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.05,35,"01"
"103","AL",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.05,39,"01"
"104","AL",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.05,44,"01"
"105","AL",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.1,34,"01"
"106","AL",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.1,40,"01"
"107","AL",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.1,46,"01"
"108","AL",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.1,51,"01"
"109","AL",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.15,38,"01"
"110","AL",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.15,45,"01"
"111","AL",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.15,51,"01"
"112","AL",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.15,56,"01"
"113","AL",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.2,41,"01"
"114","AL",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.2,48,"01"
"115","AL",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.2,55,"01"
"116","AL",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.2,61,"01"
"117","AL",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.25,44,"01"
"118","AL",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.25,52,"01"
"119","AL",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.25,59,"01"
"120","AL",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.25,65,"01"
"121","AL",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.3,46,"01"
"122","AL",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.3,55,"01"
"123","AL",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.3,62,"01"
"124","AL",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.3,68,"01"
"125","AL",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.35,49,"01"
"126","AL",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.35,58,"01"
"127","AL",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.35,65,"01"
"128","AL",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.35,72,"01"
"129","AL",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.4,51,"01"
"130","AL",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.4,61,"01"
"131","AL",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.4,69,"01"
"132","AL",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.4,76,"01"
"133","AL",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.45,54,"01"
"134","AL",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.45,63,"01"
"135","AL",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.45,72,"01"
"136","AL",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.45,79,"01"
"137","AL",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.5,56,"01"
"138","AL",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.5,66,"01"
"139","AL",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.5,75,"01"
"140","AL",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.5,83,"01"
"141","AL",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.55,59,"01"
"142","AL",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.55,69,"01"
"143","AL",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.55,78,"01"
"144","AL",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.55,86,"01"
"145","AL",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.6,61,"01"
"146","AL",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.6,72,"01"
"147","AL",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.6,82,"01"
"148","AL",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.6,90,"01"
"149","AL",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.65,64,"01"
"150","AL",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.65,76,"01"
"151","AL",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.65,86,"01"
"152","AL",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.65,94,"01"
"153","AL",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.7,67,"01"
"154","AL",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.7,79,"01"
"155","AL",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.7,90,"01"
"156","AL",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.7,99,"01"
"157","AL",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.75,71,"01"
"158","AL",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.75,83,"01"
"159","AL",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.75,94,"01"
"160","AL",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.75,104,"01"
"161","AL",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.8,75,"01"
"162","AL",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.8,88,"01"
"163","AL",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.8,99,"01"
"164","AL",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.8,109,"01"
"165","AL",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.85,79,"01"
"166","AL",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.85,93,"01"
"167","AL",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.85,106,"01"
"168","AL",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.85,116,"01"
"169","AL",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.9,86,"01"
"170","AL",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.9,101,"01"
"171","AL",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.9,114,"01"
"172","AL",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.9,125,"01"
"173","AL",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.95,95,"01"
"174","AL",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.95,112,"01"
"175","AL",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.95,126,"01"
"176","AL",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.95,139,"01"
"177","AL",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.975,104,"01"
"178","AL",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.975,123,"01"
"179","AL",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.975,138,"01"
"180","AL",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.975,152,"01"
"181","AL",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.99,115,"01"
"182","AL",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.99,136,"01"
"183","AL",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.99,153,"01"
"184","AL",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.99,168,"01"
"185","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.01,1,"02"
"186","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.01,1,"02"
"187","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.01,1,"02"
"188","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.01,1,"02"
"189","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.025,1,"02"
"190","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.025,2,"02"
"191","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.025,2,"02"
"192","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.025,2,"02"
"193","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.05,2,"02"
"194","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.05,2,"02"
"195","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.05,3,"02"
"196","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.05,3,"02"
"197","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.1,3,"02"
"198","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.1,3,"02"
"199","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.1,4,"02"
"200","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.1,4,"02"
"201","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.15,3,"02"
"202","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.15,4,"02"
"203","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.15,4,"02"
"204","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.15,5,"02"
"205","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.2,4,"02"
"206","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.2,4,"02"
"207","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.2,5,"02"
"208","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.2,5,"02"
"209","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.25,4,"02"
"210","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.25,5,"02"
"211","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.25,5,"02"
"212","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.25,6,"02"
"213","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.3,5,"02"
"214","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.3,5,"02"
"215","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.3,6,"02"
"216","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.3,6,"02"
"217","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.35,5,"02"
"218","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.35,6,"02"
"219","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.35,6,"02"
"220","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.35,7,"02"
"221","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.4,6,"02"
"222","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.4,6,"02"
"223","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.4,7,"02"
"224","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.4,8,"02"
"225","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.45,6,"02"
"226","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.45,7,"02"
"227","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.45,7,"02"
"228","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.45,8,"02"
"229","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.5,6,"02"
"230","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.5,7,"02"
"231","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.5,8,"02"
"232","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.5,9,"02"
"233","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.55,7,"02"
"234","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.55,8,"02"
"235","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.55,8,"02"
"236","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.55,9,"02"
"237","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.6,7,"02"
"238","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.6,8,"02"
"239","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.6,9,"02"
"240","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.6,10,"02"
"241","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.65,8,"02"
"242","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.65,9,"02"
"243","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.65,9,"02"
"244","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.65,10,"02"
"245","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.7,8,"02"
"246","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.7,9,"02"
"247","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.7,10,"02"
"248","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.7,11,"02"
"249","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.75,9,"02"
"250","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.75,10,"02"
"251","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.75,11,"02"
"252","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.75,12,"02"
"253","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.8,10,"02"
"254","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.8,11,"02"
"255","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.8,12,"02"
"256","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.8,13,"02"
"257","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.85,10,"02"
"258","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.85,12,"02"
"259","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.85,13,"02"
"260","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.85,14,"02"
"261","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.9,11,"02"
"262","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.9,13,"02"
"263","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.9,14,"02"
"264","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.9,15,"02"
"265","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.95,13,"02"
"266","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.95,15,"02"
"267","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.95,16,"02"
"268","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.95,17,"02"
"269","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.975,15,"02"
"270","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.975,16,"02"
"271","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.975,18,"02"
"272","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.975,19,"02"
"273","AK",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.99,17,"02"
"274","AK",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.99,18,"02"
"275","AK",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.99,20,"02"
"276","AK",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.99,22,"02"
"277","AL",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.01,21,"01"
"278","AL",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.01,25,"01"
"279","AL",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.01,29,"01"
"280","AL",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.01,33,"01"
"281","AL",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.025,25,"01"
"282","AL",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.025,30,"01"
"283","AL",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.025,35,"01"
"284","AL",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.025,40,"01"
"285","AL",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.05,29,"01"
"286","AL",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.05,35,"01"
"287","AL",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.05,41,"01"
"288","AL",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.05,46,"01"
"289","AL",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.1,34,"01"
"290","AL",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.1,41,"01"
"291","AL",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.1,47,"01"
"292","AL",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.1,53,"01"
"293","AL",0,2024-11-30,2024-11-30,"wk inc flu hosp","quantile",0.15,38,"01"
"294","AL",1,2024-12-07,2024-11-30,"wk inc flu hosp","quantile",0.15,46,"01"
"295","AL",2,2024-12-14,2024-11-30,"wk inc flu hosp","quantile",0.15,52,"01"
"296","AL",3,2024-12-21,2024-11-30,"wk inc flu hosp","quantile",0.15,59,"01"
